n,N,is_independent,A,B,estimated,answer,error
10000,1000000,dependent,2,1,0.04612067356800003,0.0651095740530614,0.2916452881351407
10000,1000000,dependent,2,4,0.04832859471604613,0.0651095740530614,0.25773443585024114
10000,1000000,dependent,2,16,0.053523277951034114,0.0651095740530614,0.17795072799255263
10000,1000000,dependent,2,64,0.04969049004565018,0.0651095740530614,0.2368174608982292
10000,1000000,dependent,2,256,0.05144685792890937,0.0651095740530614,0.20984189073357362
10000,1000000,dependent,2,1024,0.05197620755210551,0.0651095740530614,0.20171175578959843
10000,1000000,dependent,2,4096,0.05332453991877004,0.0651095740530614,0.18100309064665487
10000,1000000,dependent,4,1,0.06865378779079988,0.0651095740530614,0.0544346018121713
10000,1000000,dependent,4,4,0.06587006852783786,0.0651095740530614,0.011680225002803413
10000,1000000,dependent,4,16,0.06233028723400066,0.0651095740530614,0.042686300125320376
10000,1000000,dependent,4,64,0.061453498499132723,0.0651095740530614,0.05615265661159363
10000,1000000,dependent,4,256,0.0639980745831989,0.0651095740530614,0.01707121396550204
10000,1000000,dependent,4,1024,0.06354710146013673,0.0651095740530614,0.02399758584891576
10000,1000000,dependent,8,1,0.07425629397806106,0.0651095740530614,0.14048194997475316
10000,1000000,dependent,8,4,0.06465278672541114,0.0651095740530614,0.007015670648958694
10000,1000000,dependent,8,16,0.06380773957987351,0.0651095740530614,0.019994516814485053
10000,1000000,dependent,8,64,0.06495691900435938,0.0651095740530614,0.002344586812649485
10000,1000000,dependent,8,256,0.06495655262088261,0.0651095740530614,0.0023502139954730827
10000,1000000,dependent,16,1,0.0660470979711845,0.0651095740530614,0.014399171423837842
10000,1000000,dependent,16,4,0.06522348258983184,0.0651095740530614,0.0017494898166219297
10000,1000000,dependent,16,16,0.0647243996028592,0.0651095740530614,0.005915788204793215
10000,1000000,dependent,16,64,0.06483313782442716,0.0651095740530614,0.004245707834134471
10000,1000000,dependent,16,256,0.06524459579556527,0.0651095740530614,0.0020737617234882766
10000,1000000,dependent,32,1,0.06511767055223713,0.0651095740530614,0.00012435189898685195
10000,1000000,dependent,32,4,0.06511213100914387,0.0651095740530614,3.927158362881933e-05
10000,1000000,dependent,32,16,0.06563332616524949,0.0651095740530614,0.00804416431539301
10000,1000000,dependent,32,64,0.06533456823874523,0.0651095740530614,0.0034556236767953052
10000,1000000,independent,2,1,0.0003708308160000062,0.000987850754854881,0.6246084601570379
10000,1000000,independent,2,4,0.000584437830435609,0.000987850754854881,0.40837436468683463
10000,1000000,independent,2,16,0.0004318654125899321,0.000987850754854881,0.5628232195324134
10000,1000000,independent,2,64,0.0006182159838747899,0.000987850754854881,0.3741807850664566
10000,1000000,independent,2,256,0.0006403153979768319,0.000987850754854881,0.35180957768170495
10000,1000000,independent,4,1,0.0009210556524411195,0.000987850754854881,0.0676165929777256
10000,1000000,independent,4,4,0.000976911590950397,0.000987850754854881,0.011073701012751846
10000,1000000,independent,4,16,0.0010329781811456034,0.000987850754854881,0.04568243337259159
10000,1000000,independent,4,64,0.0009606788966152719,0.000987850754854881,0.02750603581165534
10000,1000000,independent,4,256,0.0009548434902638411,0.000987850754854881,0.03341320986882157
10000,1000000,independent,8,1,0.0010177708140856358,0.000987850754854881,0.030288036005145402
10000,1000000,independent,8,4,0.0009550428926949699,0.000987850754854881,0.03321135505406447
10000,1000000,independent,8,16,0.00100077117157523,0.000987850754854881,0.013079320592559673
10000,1000000,independent,8,64,0.0009730827957428267,0.000987850754854881,0.014949585288542733
10000,1000000,independent,8,256,0.0009658572246107855,0.000987850754854881,0.022264021296745873
10000,1000000,independent,16,1,0.0009402758222932695,0.000987850754854881,0.04816004070230273
10000,1000000,independent,16,4,0.0010065138103614107,0.000987850754854881,0.018892586167301495
10000,1000000,independent,16,16,0.0009726638002430667,0.000987850754854881,0.015373733873438544
10000,1000000,independent,16,64,0.0009794227757890068,0.000987850754854881,0.008531631953970997
10000,1000000,independent,16,256,0.0009779012249124615,0.000987850754854881,0.010071895874474657
10000,1000000,dependent,2,1,0.16599821697599995,0.0651095740530614,1.5495208560375282
10000,1000000,dependent,2,4,0.0886332017356076,0.0651095740530614,0.3612929131340268
10000,1000000,dependent,2,16,0.043982585106918444,0.0651095740530614,0.3244835994307904
10000,1000000,dependent,2,64,0.04874392320369269,0.0651095740530614,0.2513555200964982
10000,1000000,dependent,2,1,0.034179523584000004,0.0651095740530614,0.47504611908311345
10000,1000000,dependent,2,4,0.0536679818335884,0.0651095740530614,0.1757282609489752
10000,1000000,dependent,2,16,0.05436199790587703,0.0651095740530614,0.1650690594047748
10000,1000000,dependent,2,64,0.04493183352700252,0.0651095740530614,0.3099043546132697
10000,1000000,dependent,2,256,0.052435305525026524,0.0651095740530614,0.19466059657687085
10000,1000000,dependent,4,1,0.06347810774145361,0.0651095740530614,0.025057241355598836
10000,1000000,dependent,4,4,0.06876006560868021,0.0651095740530614,0.05606689352081795
10000,1000000,dependent,4,16,0.06910812368928171,0.0651095740530614,0.06141262163628447
10000,1000000,dependent,4,64,0.06390363196773939,0.0651095740530614,0.018521732062618423
10000,1000000,dependent,32,256,0.06526841728520703,0.0651095740530614,0.002439629416346234
10000,1000000,independent,32,1,0.0009658369112548802,0.000987850754854881,0.022284584479803082
10000,1000000,independent,32,4,0.0009635962600583488,0.000987850754854881,0.024552792693968484
10000,1000000,independent,32,16,0.0009724474907587245,0.000987850754854881,0.015592703675586406
10000,1000000,independent,32,64,0.0009849638551696549,0.000987850754854881,0.002922404696294678
10000,1000000,independent,32,256,0.000984502619697581,0.000987850754854881,0.0033893127487581998
10000,1000000,dependent,4,256,0.0632928101440586,0.0651095740530614,0.0279031760754912
10000,1000000,dependent,8,1,0.0655017985869489,0.0651095740530614,0.006024068496713886
10000,1000000,dependent,8,4,0.0632147776065376,0.0651095740530614,0.02910165630909567
10000,1000000,dependent,8,16,0.06580819286673814,0.0651095740530614,0.010729893780404565
10000,1000000,dependent,8,64,0.06577823159223141,0.0651095740530614,0.010269726824277514
10000,1000000,dependent,8,64,0.06527707057702486,0.0651095740530614,0.0025725329400396735
10000,1000000,dependent,8,64,0.06460252236818655,0.0651095740530614,0.007787667055871639
